,Series,ARIMA.rec,ARIMA.unrec,OLS.rec,OLS.unrec,ARIMAX.rec,ARIMAX.unrec,OLSX.rec,OLSX.unrec,Actual,date,ForecastInterval
1988,Region/DAA,647.2060781,669.9884979,549.886007,545.8837786,645.7399812,670.6139089,507.959987,,534.7904457,20,1Step
1989,Region/DAA,510.3436897,491.56725,564.3257381,536.7249179,515.3719769,491.249723,540.7864782,,712.7392941,21,1Step
1990,Region/DAA,755.5887147,750.5610575,656.1987632,643.0197797,759.1833498,751.6136694,613.1847635,,692.1676343,22,1Step
1991,Region/DAA,655.7188711,668.4487496,604.0619186,572.0555183,654.3336321,668.8816313,584.8681672,,635.9029061,23,1Step
1992,Region/DAA,663.124942,662.470597,749.2288563,716.1999769,673.850337,662.9426084,674.1506031,,688.028781,24,1Step
1993,Region/DAB,70.96473343,35.2337636,76.37052796,59.85445591,60.49112672,34.6315319,59.87516608,,34.0170991,1,1Step
1994,Region/DAB,30.13946055,39.18490178,40.07932479,36.86006027,27.34730486,38.298991,87.66805365,,21.9131442,2,1Step
1995,Region/DAB,12.19574635,42.34480993,23.80795896,4.828053609,10.03438292,41.14223206,59.07014739,,85.9505164,3,1Step
1996,Region/DAB,45.73054788,29.98800479,55.73779053,46.58515581,54.61293616,38.4925979,23.44040037,,41.4087108,4,1Step
1997,Region/DAB,41.18727621,36.79653941,60.76198381,43.65348962,44.67350168,37.80127116,31.87789184,,39.1858221,5,1Step
1998,Region/DAB,25.45610072,38.61168737,47.32534705,37.08977444,40.83739147,38.05717804,28.60201585,,46.7336975,6,1Step
1999,Region/DAB,61.18323514,37.47981077,65.77410168,37.61190189,44.95064754,36.70046949,31.40118891,,31.1189944,7,1Step
2000,Region/DAB,33.13448934,40.39514491,47.26343724,28.70320823,35.92455657,39.40217287,30.63443563,,23.3175201,8,1Step
2001,Region/DAB,57.78690677,42.49782643,39.34695389,37.0502091,43.29445346,41.32941457,38.97196196,,35.5123635,9,1Step
2002,Region/DAB,46.69059678,40.41391449,65.16375138,51.22164459,58.43698871,39.33644009,50.84347605,,23.0114244,10,1Step
2003,Region/DAB,41.1803964,42.41532035,61.91411735,48.51094095,38.89073223,41.23098423,56.80116483,,31.9519369,11,1Step
2004,Region/DAB,2.56539742,40.96639117,58.44861175,43.27806286,5.712706603,39.84517743,38.80604326,,28.8633507,12,1Step
2005,Region/DAB,84.27389313,41.22763864,56.92514111,58.55643049,79.90361785,40.10034292,52.4840594,,26.5827561,13,1Step
2006,Region/DAB,36.88609108,41.63852241,26.89207948,28.77797796,35.4495188,40.48298193,76.7634895,,14.9918873,14,1Step
2007,Region/DAB,46.70978438,43.73637856,47.58134135,38.54610984,48.73709183,52.15732028,53.85119273,,43.304698,15,1Step
2008,Region/DAB,52.0214415,38.78635102,59.33212517,49.47070917,60.41786791,39.39413187,22.76003398,,13.579526,16,1Step
2009,Region/DAB,42.94507646,43.34233878,62.67352244,40.51734712,43.45586581,42.30342511,31.59585068,,39.5571692,17,1Step
2010,Region/DAB,39.50619307,39.30045347,41.28852598,32.86419679,45.58806883,38.27759175,27.56027335,,18.1968658,18,1Step
2011,Region/DAB,53.69971156,42.42378452,68.64123899,44.33612546,65.84225297,41.16269936,27.66423018,,52.9805024,19,1Step
2012,Region/DAB,42.79613197,36.59102648,39.86012446,27.72412042,47.24406066,35.72323499,28.70750385,,16.064618,20,1Step
2013,Region/DAB,46.1193501,42.35152916,43.75166365,31.49163102,57.03037136,41.13492334,37.22323044,,26.1937832,21,1Step
2014,Region/DAB,57.74361693,41.41455992,62.23102348,49.01581315,58.42818449,40.19561837,49.81321158,,27.0239892,22,1Step
2015,Region/DAB,38.12841494,40.99840786,67.3564662,43.47175424,39.39584952,39.80407806,56.06099165,,92.0166935,23,1Step
2016,Region/DAB,39.9988461,28.81813608,56.31396518,34.81040838,43.48471274,28.4819338,38.3467137,,37.7409489,24,1Step
2017,Region/DAC,72.05819482,35.12833454,64.78479418,46.03570197,62.38372159,35.0852646,56.08596252,,68.6495041,1,1Step
2018,Region/DAC,19.78828433,28.51699282,22.77186063,17.91908777,17.64692447,28.46484906,84.7600389,,52.4208505,2,1Step
2019,Region/DAC,0.699024133,29.82507769,44.86688568,29.4037924,-0.395401799,29.76610708,48.60530594,,15.2780105,3,1Step
2020,Region/DAC,52.40120678,38.272888,40.88734606,34.38056244,53.25389434,38.976751,7.378284778,,55.5962661,4,1Step
2021,Region/DAC,34.89372432,31.22911111,43.15705379,25.70683545,37.6391553,31.2321459,24.9374856,,16.6823791,5,1Step
2022,Region/DAC,18.86122024,32.79745964,40.55629355,28.36787021,34.58165584,32.58311394,21.49627063,,48.714883,6,1Step
2023,Region/DAC,52.75842069,29.8181189,60.59091433,34.35622431,37.16203788,29.65216262,23.20460613,,75.0934163,7,1Step
2024,Region/DAC,27.39875041,32.24668765,46.44586532,24.31149471,30.93636531,32.15010479,28.636385,,87.9658401,8,1Step
2025,Region/DAC,48.33062275,32.32794184,40.02333953,33.46308166,34.99718244,32.24493273,35.23057556,,20.2213464,9,1Step
2026,Region/DAC,45.81702753,41.39712835,57.35292853,42.5131016,58.52977609,41.28925854,38.76661859,,40.3049778,10,1Step
2027,Region/DAC,33.50811127,35.21546717,48.48920123,36.14805761,32.25232483,35.10561803,45.55099333,,31.430274,11,1Step
2028,Region/DAC,-2.786192308,36.03725363,55.90199443,38.12773003,1.314079499,35.93314622,34.18729836,,26.9732476,12,1Step
2029,Region/DAC,84.01675593,40.80350917,53.26837791,53.33877965,80.58318644,40.72106161,40.77321447,,54.2696883,13,1Step
2030,Region/DAC,33.5717968,38.08815819,38.5631843,39.65036553,33.02550833,38.02712105,77.4554388,,32.4698023,14,1Step
2031,Region/DAC,38.90173204,36.46289651,50.20516317,39.4171608,33.5554485,37.52889715,43.08599231,,31.7244063,15,1Step
2032,Region/DAC,52.88342666,39.52529551,54.5453542,44.06597485,61.03814225,39.43876157,4.161558024,,8.1585712,16,1Step
2033,Region/DAC,37.79312967,38.24437447,52.85236819,30.64504166,38.1107022,36.81980722,31.49828549,,9.885907,17,1Step
2034,Region/DAC,36.55842397,37.74368785,43.47859427,35.81184991,43.50231578,37.59924911,18.62025876,,12.9807441,18,1Step
2035,Region/DAC,51.55932172,38.80244819,66.64920231,42.15542731,64.7980946,38.68502117,21.34765832,,35.3582882,19,1Step
2036,Region/DAC,42.54940673,38.12943527,43.14478894,33.06696698,47.80073579,38.06052603,27.00964528,,24.3762745,20,1Step
2037,Region/DAC,36.70988298,32.71220593,45.77489673,35.63098176,48.4570757,32.54724217,34.44472848,,100.7868341,21,1Step
2038,Region/DAC,46.31318082,30.12090594,51.84732425,39.58823043,48.12513417,30.08533041,38.42249444,,94.2936347,22,1Step
2039,Region/DAC,29.62355091,31.29409664,53.83411211,30.91382636,32.03711172,31.31395229,45.60712928,,41.0497581,23,1Step
2040,Region/DAC,45.69587001,35.49268929,52.12150449,30.19877998,49.7741787,35.48722227,34.48706916,,52.908628,24,1Step
2041,Region/DBA,273.2653366,243.3491452,309.7704379,297.5293398,299.7352145,289.4438764,308.4310948,,443.8663294,1,1Step
2042,Region/DBA,63.341302,51.67715116,107.6394168,94.44117686,67.42318596,57.20792765,179.865178,,115.3230971,2,1Step
2043,Region/DBA,141.4557427,150.7952554,132.23772,115.3393295,126.9767969,133.8153727,126.9117026,,191.1518002,3,1Step
2044,Region/DBA,131.6705847,109.393051,177.495576,157.6847194,143.72462,124.7588079,87.07450335,,82.2031104,4,1Step
2045,Region/DBA,102.8608243,95.32179329,120.0359444,107.8766376,103.8638556,97.38447486,130.9727949,,165.1279569,5,1Step
2046,Region/DBA,82.82768356,74.29737884,99.60690159,82.30666028,72.07606939,59.55315693,77.94522832,,98.6292085,6,1Step
2047,Region/DBA,85.04074158,60.68405364,98.81683757,83.85422058,79.94338143,61.30430562,61.78980038,,57.0012065,7,1Step
2048,Region/DBA,72.95807341,49.57505126,78.88142389,63.71460873,55.32541768,49.52937698,60.22249354,,77.5301631,8,1Step
2049,Region/DBA,66.70422822,46.90523201,60.23781111,63.89656531,57.69797955,47.34741543,66.17531007,,57.8383041,9,1Step
2050,Region/DBA,131.229175,118.7965456,112.5340373,97.44090754,129.031676,109.3962392,124.1737535,,168.5247951,10,1Step
2051,Region/DBA,102.1775926,93.43438518,97.69236609,86.88052634,103.6874492,98.11834517,110.7575776,,78.0776488,11,1Step
2052,Region/DBA,110.6904674,104.5825453,104.6534112,85.36530273,105.7745597,96.59165671,94.62408371,,151.5734467,12,1Step
2053,Region/DBA,338.4060461,323.4242235,326.4409062,319.939591,335.9738629,327.1997476,294.2377777,,267.0910983,13,1Step
2054,Region/DBA,104.2430083,105.1432214,121.7456781,119.6507846,110.1498924,116.7959866,169.8247262,,156.9615258,14,1Step
2055,Region/DBA,140.4232014,152.1542939,123.6051695,107.2198916,168.1394026,185.0237051,120.0395604,,246.6427761,15,1Step
2056,Region/DBA,124.5385666,94.04948688,144.5173286,128.8093721,93.04402412,61.98674241,127.1184219,,130.401907,16,1Step
2057,Region/DBA,126.7848295,127.5062368,129.0499172,111.6425073,131.7150602,126.5264681,87.47367572,,208.8915082,17,1Step
2058,Region/DBA,88.0358394,87.48103108,87.69813679,85.87922877,88.74016761,76.94287833,77.4001728,,100.5595944,18,1Step
2059,Region/DBA,82.90668492,61.47912952,93.56525981,82.67672106,88.61644344,57.64661552,57.27545121,,128.3358255,19,1Step
2060,Region/DBA,61.83631783,54.2307503,79.30770576,70.81309,76.65453966,65.67983097,57.10983502,,59.9482514,20,1Step
2061,Region/DBA,71.0554493,53.48220626,81.87692617,77.45965107,83.04081354,56.88352152,63.59990336,,86.679137,21,1Step
2062,Region/DBA,149.1041263,139.2881409,158.0774885,148.9802664,153.6290751,138.2872779,122.1476511,,123.145694,22,1Step
2063,Region/DBA,93.18186571,91.04063504,113.7833389,102.708386,95.16480408,93.96200344,109.0919316,,138.8408741,23,1Step
2064,Region/DBA,130.3391857,120.5759099,116.1462185,85.35601103,138.4354173,119.2634104,93.21139272,,59.908976,24,1Step
2065,Region/DBB,474.7688296,442.1966416,448.0260794,438.1663663,464.8616737,442.3271051,453.008829,,646.7203752,1,1Step
2066,Region/DBB,148.1218493,142.7872204,162.0520729,154.3374434,148.1488433,143.140175,242.9544213,,226.2360596,2,1Step
2067,Region/DBB,130.299989,142.9892047,159.4299807,150.2305092,127.8120942,139.8420187,167.5760539,,194.4566773,3,1Step
2068,Region/DBB,203.1093051,188.0023235,220.6324672,202.5263766,204.0561333,190.8637412,119.9396392,,163.2198278,4,1Step
2069,Region/DBB,108.44453,99.2019218,128.8874431,119.7824335,104.7602138,96.54039284,102.1026809,,98.3661321,5,1Step
2070,Region/DBB,113.0737471,103.4821687,122.3734178,104.7643539,114.2444908,103.4950801,101.1112514,,73.1360658,6,1Step
2071,Region/DBB,126.7126977,105.571419,132.2176149,121.7743452,121.0199925,105.4674231,102.9960851,,87.6910424,7,1Step
2072,Region/DBB,90.84080201,70.07693967,89.56540279,73.16522394,73.19538447,70.0725497,74.48147593,,66.0252234,8,1Step
2073,Region/DBB,88.86221368,70.52384458,76.16411556,80.41006435,79.50118459,70.48453691,86.51294587,,115.6355903,9,1Step
2074,Region/DBB,150.4309141,134.0373003,159.8293748,151.3760678,155.8250485,134.068479,132.587424,,229.47782,10,1Step
2075,Region/DBB,115.4262848,108.7498184,142.1989471,131.9193919,113.9666119,108.7330615,134.1202779,,214.7731934,11,1Step
2076,Region/DBB,132.983944,125.5101175,184.4039017,165.6777802,142.7332561,136.2394934,140.2524468,,163.9050577,12,1Step
2077,Region/DBB,533.3935094,517.2399629,496.0182812,485.2949769,531.0249758,521.1044491,440.5349997,,625.1942095,13,1Step
2078,Region/DBB,173.0824465,165.6891372,188.4464104,190.0064185,178.6343682,176.6774329,235.3947042,,167.3191586,14,1Step
2079,Region/DBB,150.1834924,156.2448267,167.7526637,151.7211933,156.7455721,170.137421,162.257785,,147.8503584,15,1Step
2080,Region/DBB,203.8849948,179.9805886,198.5982295,184.683158,201.1182317,165.8645081,134.6258707,,117.8556476,16,1Step
2081,Region/DBB,105.518326,100.5265581,122.4081901,101.0664478,106.7233441,95.16070543,93.81911877,,152.841847,17,1Step
2082,Region/DBB,101.0889001,94.424554,111.2855319,103.6052591,114.4452473,101.4474665,95.04324551,,98.959052,18,1Step
2083,Region/DBB,120.7311989,102.361368,144.8363239,127.4569146,131.9576211,101.5311401,100.6671462,,122.7393601,19,1Step
2084,Region/DBB,77.62877664,69.53948062,115.8013932,99.44484734,84.58397153,72.00287814,72.76343957,,57.5468485,20,1Step
2085,Region/DBB,101.516695,84.54146228,116.9079385,111.2877517,109.1575776,82.40878112,85.55409664,,92.0895059,21,1Step
2086,Region/DBB,171.7181989,160.4090935,186.6391636,178.0196352,176.2219003,161.3837096,132.1325924,,280.5716925,22,1Step
2087,Region/DBB,144.1894048,141.43997,171.1178306,158.0962758,157.1838749,154.4765911,134.0400453,,108.5852499,23,1Step
2088,Region/DBB,145.4697375,136.2425733,186.3801995,161.2847652,151.9546342,136.2183151,140.4212571,,179.2292929,24,1Step
2089,Region/DBC,64.01970414,30.97738772,108.5600237,96.7325126,57.21177327,31.19303994,101.1028598,,94.3293852,1,1Step
2090,Region/DBC,27.76103229,22.98875308,41.38612732,36.40105579,27.97873877,23.00799856,97.25918716,,14.1660753,2,1Step
2091,Region/DBC,20.24810348,32.98178567,51.86877285,38.81757997,21.48584832,33.90205323,61.87840887,,24.5377047,3,1Step
2092,Region/DBC,50.06022745,39.50241541,74.92517234,57.51274258,51.3176039,37.59971463,30.3060497,,28.0774677,4,1Step
2093,Region/DBC,52.52945542,49.47303201,44.835869,34.11141085,51.43639004,49.91030029,24.32276775,,12.4852615,5,1Step
2094,Region/DBC,29.90399351,20.80394552,35.21911713,14.94325902,30.24596889,20.80108671,11.95775558,,20.6625982,6,1Step
2095,Region/DBC,36.91156527,17.79317597,36.09564973,25.71584364,32.56564604,17.78803718,10.23564322,,12.0687516,7,1Step
2096,Region/DBC,47.66099883,30.13892415,37.10662857,21.76483979,30.22621224,30.23054349,32.84418151,,15.9732711,8,1Step
2097,Region/DBC,43.0178681,27.52998405,11.44383538,16.32179286,32.88637064,27.56117285,27.85209649,,26.1673314,9,1Step
2098,Region/DBC,47.15238746,33.32153433,45.41865705,33.29649476,52.49821222,33.44521526,37.99019352,,57.4386822,10,1Step
2099,Region/DBC,41.10852956,36.64563101,31.61476405,23.97040753,39.77609695,36.84939774,40.85188344,,21.2171175,11,1Step
2100,Region/DBC,31.75689056,25.50781124,53.88470205,33.70659069,33.01127379,25.55288582,33.34738763,,53.2085709,12,1Step
2101,Region/DBC,85.45583804,64.07883631,101.9857583,91.06893736,80.13713713,64.48300453,83.56893322,,113.7154658,13,1Step
2102,Region/DBC,27.30269865,25.06937672,42.46804795,43.16838724,23.96784547,25.03895781,88.56736148,,22.1831343,14,1Step
2103,Region/DBC,24.30863762,32.33867196,58.38737779,43.12363296,15.83473859,28.9014625,56.31110627,,42.3692126,15,1Step
2104,Region/DBC,49.07678794,23.22291795,67.00809817,52.9018471,60.15856675,24.78982387,19.71453187,,30.5367448,16,1Step
2105,Region/DBC,35.62057278,32.33905043,56.66751775,36.61541402,38.60503251,32.27842447,37.37762908,,45.9190375,17,1Step
2106,Region/DBC,24.67082654,20.95434296,21.49929389,16.61386497,33.20937419,20.95696394,8.305072981,,9.6525562,18,1Step
2107,Region/DBC,39.45265516,20.7402515,42.31984879,27.85124763,51.48981587,20.74581958,8.055106423,,33.9999744,19,1Step
2108,Region/DBC,30.20223198,27.26502333,37.55588097,23.79754786,35.24113791,27.30061712,30.99016991,,2.1934198,20,1Step
2109,Region/DBC,33.66097338,18.39807383,27.23125589,18.75953615,43.76788787,18.42533654,26.70892899,,17.9552798,21,1Step
2110,Region/DBC,49.53383355,38.22702815,42.81704616,27.78105376,53.34854533,38.39603863,37.33925683,,99.9122323,22,1Step
2111,Region/DBC,44.5975364,45.8366711,46.76556325,34.95402665,47.42101922,45.9330172,40.58343551,,14.8151958,23,1Step
2112,Region/DBC,41.35151782,32.0978844,62.50279194,35.26414627,47.91697652,32.23733663,33.32839192,,67.4925083,24,1Step
2113,Region/DCA,109.0844984,76.86039907,121.2475966,102.9855475,107.2237522,77.0390133,113.019549,,108.8397228,1,1Step
2114,Region/DCA,32.86668474,40.72310503,12.23447682,17.15695882,27.8009972,40.80658008,56.88363678,,51.2762325,2,1Step
2115,Region/DCA,46.93993386,45.55528998,57.97045129,47.07128665,43.37017361,45.84056657,65.96128943,,24.4459677,3,1Step
2116,Region/DCA,55.83771892,51.93359531,54.32796737,46.06630745,57.95158742,50.59947232,38.95961537,,75.4317315,4,1Step
2117,Region/DCA,37.27250927,39.32460112,43.68543251,38.95631901,35.79085253,38.678671,22.10353374,,79.4381386,5,1Step
2118,Region/DCA,49.41192685,45.4977067,51.89512066,31.42906626,48.04858652,46.1443931,22.02348411,,8.8002772,6,1Step
2119,Region/DCA,50.5124768,39.54573354,53.51172865,34.4299547,47.56999274,39.69795883,26.29634287,,43.0511796,7,1Step
2120,Region/DCA,53.70898353,42.55715453,37.77190824,19.94204758,42.36370934,42.57899281,26.2276973,,42.4019302,8,1Step
2121,Region/DCA,59.07731357,47.17743649,30.9664808,25.94652844,51.09039803,47.2036808,32.87148786,,33.6299301,9,1Step
2122,Region/DCA,56.87842566,47.71712952,54.88154067,51.78953591,59.90527777,47.73443509,53.47551527,,16.6677033,10,1Step
2123,Region/DCA,44.84486809,39.70973495,49.49250358,32.39203152,47.32545163,39.13156231,37.98295707,,39.33369,11,1Step
2124,Region/DCA,47.76907781,47.90261603,39.27431236,29.28592277,46.86722091,46.64774908,32.09510879,,24.5397307,12,1Step
2125,Region/DCA,72.21355697,50.44378522,109.1618507,103.2620034,67.00100475,48.44581845,96.8497927,,164.6909965,13,1Step
2126,Region/DCA,42.96143895,48.43220483,38.50692593,37.43040342,45.10893592,48.46029901,48.03836676,,20.5330248,14,1Step
2127,Region/DCA,41.64686753,37.61066141,46.92749619,37.90325186,33.92996965,41.88816818,59.74408913,,61.0485588,15,1Step
2128,Region/DCA,56.76173781,53.73068552,60.09610036,52.94555172,63.19661275,53.22155579,28.28021502,,37.4489237,16,1Step
2129,Region/DCA,63.96947533,53.39646854,54.97315606,34.90895706,61.85675077,50.52117172,31.94068686,,117.5615317,17,1Step
2130,Region/DCA,31.15708546,39.93957081,36.2562186,34.37515139,40.59346691,39.89302591,17.74037801,,62.6969193,18,1Step
2131,Region/DCA,60.65483411,49.2451723,52.86149626,27.80690303,65.99237743,49.17224403,22.78003338,,31.2517333,19,1Step
2132,Region/DCA,38.81813158,46.21039049,31.47938461,23.37650371,42.32204731,46.12837356,23.15763911,,27.9214212,20,1Step
2133,Region/DCA,59.76845456,46.09547104,43.77490814,25.502246,66.68342997,46.0146475,30.27270457,,71.3961771,21,1Step
2134,Region/DCA,59.91297144,40.97093127,75.37552737,65.63878803,62.36999493,40.92223142,51.2771756,,57.7106702,22,1Step
2135,Region/DCA,65.31092991,47.27885321,50.68349498,33.93532159,66.33413605,47.20934713,36.08077595,,18.1217974,23,1Step
2136,Region/DCA,46.14637136,39.41828216,50.25717394,30.1874684,50.44430916,39.35492743,30.43606937,,44.4704779,24,1Step
2137,Region/DCB,192.6598106,162.6511921,171.9285405,153.6002826,190.341021,163.4281564,184.452052,,183.2372758,1,1Step
2138,Region/DCB,30.29269518,36.33193318,48.3013228,57.8966528,25.67064944,37.39802762,95.40744794,,24.4315826,2,1Step
2139,Region/DCB,64.97477007,61.87602478,65.99256538,57.60371901,48.00315271,47.89198341,45.93094772,,83.1135272,3,1Step
2140,Region/DCB,87.93201939,83.24405069,136.5908601,122.0395297,120.1222429,111.8926775,54.98720835,,80.6338059,4,1Step
2141,Region/DCB,122.1324298,130.6803667,69.11843612,70.38974543,122.6898305,131.9765136,102.4988133,,196.4464132,5,1Step
2142,Region/DCB,74.08880708,72.83072974,78.41883193,58.00443245,75.06468785,76.17605297,64.90976563,,56.9958068,6,1Step
2143,Region/DCB,79.18154498,69.43011537,99.50791822,84.34033872,75.89806633,69.40883718,54.7505423,,59.4874525,7,1Step
2144,Region/DCB,64.73087229,52.52968417,71.70714476,52.68092542,52.12457355,51.21348495,51.13209544,,36.1899702,8,1Step
2145,Region/DCB,72.42767953,59.77466073,79.98226493,75.36336577,70.12866882,67.19861603,56.65357166,,75.9589919,9,1Step
2146,Region/DCB,120.0726727,111.2428073,94.2843363,89.3923116,118.997578,106.7607921,85.29144598,,111.6743329,10,1Step
2147,Region/DCB,95.16796471,89.31107819,73.75072236,57.92800374,84.02744328,72.2808457,65.73717313,,61.3148188,11,1Step
2148,Region/DCB,72.91427329,73.80867731,73.92513184,68.22394576,79.86518463,82.83014174,48.5591488,,64.2092715,12,1Step
2149,Region/DCB,190.3613436,171.9402082,170.5916259,164.5823915,191.3251085,178.7188713,164.1600271,,130.8063505,13,1Step
2150,Region/DCB,41.52551114,45.00621691,49.05535764,47.14871266,45.93240529,48.36087943,86.36400163,,47.8945175,14,1Step
2151,Region/DCB,73.06985595,69.90136114,63.38016136,54.52285489,118.574443,131.1673021,40.12092696,,136.7178466,15,1Step
2152,Region/DCB,83.80502129,82.42732534,120.2068106,109.0929906,58.57950903,46.50878353,104.5715724,,135.5317281,16,1Step
2153,Region/DCB,151.4630864,157.8905669,104.2890931,83.89271582,143.8036221,152.2989174,61.66254197,,73.4408901,17,1Step
2154,Region/DCB,67.11836109,77.95132707,69.84922834,66.62031177,74.4495753,75.65166423,54.48613515,,69.9108921,18,1Step
2155,Region/DCB,79.82539279,68.00290172,97.63086137,76.76437327,83.42020758,66.25000607,50.14508814,,36.9996179,19,1Step
2156,Region/DCB,52.36824587,58.03909989,67.63009316,59.27333826,53.89854348,56.29130326,48.23284738,,70.746106,20,1Step
2157,Region/DCB,85.05305354,72.05706138,85.10556473,71.30378385,90.44261828,70.6041207,54.55872143,,61.1790801,21,1Step
2158,Region/DCB,122.8420757,105.5795848,102.610672,92.58408902,122.9397891,103.1478406,83.6601176,,68.642867,22,1Step
2159,Region/DCB,91.18344916,73.03242768,69.62829133,49.66487822,90.35421534,71.1467224,64.41577953,,70.3770986,23,1Step
2160,Region/DCB,83.4625955,75.55565646,74.08992147,55.80994064,85.73692224,73.39753614,47.42952376,,30.7725208,24,1Step
2161,Region/DCC,64.33366448,29.38933229,48.76325624,28.49293928,61.3179696,28.61568547,48.90936459,,8.0129386,1,1Step
2162,Region/DCC,21.18747194,29.2850572,17.65139689,18.29398007,15.27026134,28.50563711,65.7053093,,30.2900456,2,1Step
2163,Region/DCC,30.75037908,29.28993578,37.43794851,26.67430673,26.01837285,28.51511778,48.82807732,,19.2883302,3,1Step
2164,Region/DCC,33.78237293,29.24161885,36.56237143,25.56901292,46.54843649,37.90633953,1.941507172,,12.3423113,4,1Step
2165,Region/DCC,27.11424517,29.16037218,30.23599832,29.0580661,25.14477569,28.47222845,58.45456216,,46.2109696,5,1Step
2166,Region/DCC,32.21383242,29.24195398,45.3909787,21.14563004,30.03278071,28.56548355,20.20776361,,35.8447496,6,1Step
2167,Region/DCC,40.91554998,29.27339587,53.94905893,35.21943311,37.2090315,28.60355156,25.36245526,,23.4764592,7,1Step
2168,Region/DCC,40.8314154,29.24592224,27.7863082,10.1756513,28.79837318,28.57687816,30.49276226,,23.8708912,8,1Step
2169,Region/DCC,39.96199533,29.22056832,27.95501246,18.43393247,31.32903388,28.55252224,38.53991253,,44.8983266,9,1Step
2170,Region/DCC,38.54819266,29.29417281,39.93724696,39.083443,40.93787664,28.63668465,37.24825907,,51.9794497,10,1Step
2171,Region/DCC,33.60194393,29.40017878,40.66482606,25.33795637,36.00404044,28.75625784,46.96750876,,37.0698424,11,1Step
2172,Region/DCC,28.50058465,29.43585163,29.44000636,18.66441132,27.90489353,28.79862709,22.79910714,,35.3967724,12,1Step
2173,Region/DCC,50.33463994,29.46344849,57.97762985,51.3798261,46.30558668,28.8320833,44.50235805,,26.5273136,13,1Step
2174,Region/DCC,23.95596132,29.44991791,24.17869434,19.30053928,25.32840284,28.82045581,57.82129442,,9.8238909,14,1Step
2175,Region/DCC,32.16984978,29.35989027,44.79993418,35.90057671,28.34017199,36.41311708,44.38561252,,72.8005375,15,1Step
2176,Region/DCC,30.58431123,29.55824939,44.63017995,37.07405392,35.97683186,28.71759368,23.77594569,,61.4016483,16,1Step
2177,Region/DCC,40.63012595,29.70299211,55.38771976,35.72428627,37.07645933,28.88083506,35.23149796,,24.2553756,17,1Step
2178,Region/DCC,21.0792039,29.67834226,29.05698389,23.6821644,29.6433437,28.85784789,19.70664078,,11.5886967,18,1Step
2179,Region/DCC,41.78299066,29.59685737,56.5492621,32.73741029,46.19219956,28.7724497,23.38218431,,101.8254617,19,1Step
2180,Region/DCC,23.68602162,29.92075246,39.06086396,28.59304303,26.06471634,29.13192863,29.09283895,,48.524766,20,1Step
2181,Region/DCC,43.69817893,30.00380609,43.03528842,23.02799058,49.76539147,29.22688953,37.65514309,,32.8510474,21,1Step
2182,Region/DCC,48.43924502,30.0164605,49.62923338,35.35700715,50.29576966,29.24454947,36.76501501,,20.6873051,22,1Step
2183,Region/DCC,47.92591047,29.97518105,58.90684507,37.26726343,48.19022681,29.2030536,46.78039196,,19.4734641,23,1Step
2184,Region/DCC,36.91683505,29.92891798,39.25259383,18.28505736,40.56211106,29.15610047,22.80064834,,13.6415018,24,1Step
2185,Region/DCD,164.1801631,132.4763355,148.5274116,126.8381617,162.8307067,133.1343136,138.0105821,,297.6996559,1,1Step
2186,Region/DCD,100.6170363,107.0862436,121.980914,122.2075511,112.3561684,128.3289189,142.7466904,,138.8957582,2,1Step
2187,Region/DCD,143.0760098,138.999461,96.09526529,80.849769,157.5653018,162.3254944,104.4371868,,180.541192,3,1Step
2188,Region/DCD,201.7914351,192.0331578,180.777484,166.94683,181.9317713,165.0747284,189.733341,,229.1928552,4,1Step
2189,Region/DCD,166.0964327,167.2351277,197.6041139,191.4924077,165.3385839,167.6291871,103.7775928,,141.1094039,5,1Step
2190,Region/DCD,164.572161,158.1807701,114.6514147,83.71720445,163.6479272,158.6280309,121.6432005,,182.7104977,6,1Step
2191,Region/DCD,226.3051328,207.6176021,256.1210995,232.3002905,217.3890545,199.8484878,226.101692,,141.1752141,7,1Step
2192,Region/DCD,147.3672093,136.8607564,194.5582426,176.1507911,128.5655779,127.2619101,165.342894,,154.9289733,8,1Step
2193,Region/DCD,185.4084753,167.7979971,176.7557354,165.8657218,178.6782048,169.0751003,197.3407597,,269.1108795,9,1Step
2194,Region/DCD,202.4438081,184.3652571,298.5729087,295.477677,205.340891,184.6978803,275.6352061,,393.0775794,10,1Step
2195,Region/DCD,201.3231619,200.2353528,141.7087068,118.4364878,204.2518742,199.6929236,145.7117358,,135.2642023,11,1Step
2196,Region/DCD,108.0847313,108.6861821,131.8997203,126.2574086,108.46246,107.7882344,88.55063781,,249.374781,12,1Step
2197,Region/DCD,227.5309355,215.3937745,128.6445067,120.5110254,225.2164862,216.1742097,142.2668856,,96.4064862,13,1Step
2198,Region/DCD,136.8176478,143.2589669,118.6907963,110.2310103,133.1660059,135.9732128,138.087813,,179.2262442,14,1Step
2199,Region/DCD,141.7524884,135.7277342,90.146119,78.0808187,137.4936794,145.3013303,99.62192591,,157.4838656,15,1Step
2200,Region/DCD,200.044072,192.9431884,244.6677496,238.8712338,204.9167704,196.4793132,161.3136243,,277.7570513,16,1Step
2201,Region/DCD,157.9645368,128.6374855,180.8188634,156.9838453,176.6387656,155.13589,128.3858924,,235.437873,17,1Step
2202,Region/DCD,213.632559,237.7444938,178.2413342,179.8386766,211.6793049,219.4117328,122.2161789,,283.1987381,18,1Step
